Date,Open*,High,Low,Close**,Volume,Market Cap
13-10-17,"5,464.16","5,840.30","5,436.85","5,647.21",3615480000.00,90812400000.00
12-10-17,"4,829.58","5,446.91","4,822.00","5,446.91",2791610000.00,80256700000.00
11-10-17,"4,789.25","4,873.73","4,751.63","4,826.48",1222280000.00,79578200000.00
10-10-17,"4,776.21","4,922.17","4,765.10","4,781.99",1597140000.00,79351800000.00
09-10-17,"4,614.52","4,878.71","4,564.25","4,772.02",1968740000.00,76656500000.00
08-10-17,"4,429.67","4,624.14","4,405.64","4,610.48",1313870000.00,73575400000.00
07-10-17,"4,369.35","4,443.88","4,321.05","4,426.89",906928000.00,72565100000.00
06-10-17,"4,324.46","4,413.27","4,320.53","4,370.81",1069940000.00,71810600000.00
05-10-17,"4,229.88","4,362.64","4,164.05","4,328.41",1161770000.00,70233700000.00
04-10-17,"4,319.37","4,352.31","4,210.42","4,229.36",1116770000.00,71712500000.00
03-10-17,"4,408.46","4,432.47","4,258.89","4,317.48",1288020000.00,73181300000.00
02-10-17,"4,395.81","4,470.23","4,377.46","4,409.32",1431730000.00,72963200000.00
01-10-17,"4,341.05","4,403.74","4,269.81","4,403.74",1208210000.00,72047300000.00
30-09-17,"4,166.11","4,358.43","4,160.86","4,338.71",1207450000.00,69136600000.00
29-09-17,"4,171.62","4,214.63","4,039.29","4,163.07",1367050000.00,69219200000.00
28-09-17,"4,197.13","4,279.31","4,109.70","4,174.73",1712320000.00,69633200000.00
27-09-17,"3,892.94","4,210.05","3,884.82","4,200.67",1686880000.00,64579200000.00
26-09-17,"3,928.41","3,969.89","3,869.90","3,892.35",1043740000.00,65161000000.00
25-09-17,"3,681.58","3,950.25","3,681.58","3,926.07",1374210000.00,61061100000.00
24-09-17,"3,796.15","3,796.15","3,666.90","3,682.84",768015000.00,62954300000.00
23-09-17,"3,629.92","3,819.21","3,594.58","3,792.40",928114000.00,60190000000.00
22-09-17,"3,628.02","3,758.27","3,553.53","3,630.70",1194830000.00,60152300000.00
21-09-17,"3,901.47","3,916.42","3,613.63","3,631.04",1411480000.00,64677600000.00
20-09-17,"3,916.36","4,031.39","3,857.73","3,905.95",1213830000.00,64918500000.00
19-09-17,"4,073.79","4,094.07","3,868.87","3,924.97",1563980000.00,67520300000.00
18-09-17,"3,591.09","4,079.23","3,591.09","4,065.20",1943210000.00,59514100000.00
17-09-17,"3,606.28","3,664.81","3,445.64","3,582.88",1239150000.00,59757800000.00
16-09-17,"3,637.75","3,808.84","3,487.79","3,625.04",1818400000.00,60271600000.00
15-09-17,"3,166.30","3,733.45","2,946.62","3,637.52",4148070000.00,52453500000.00
14-09-17,"3,875.37","3,920.60","3,153.86","3,154.95",2716310000.00,64191600000.00
13-09-17,"4,131.98","4,131.98","3,789.92","3,882.59",2219410000.00,68432200000.00
12-09-17,"4,168.88","4,344.65","4,085.22","4,130.81",1864530000.00,69033400000.00
11-09-17,"4,122.47","4,261.67","4,099.40","4,161.27",1557330000.00,68256000000.00
10-09-17,"4,229.34","4,245.44","3,951.04","4,122.94",1679090000.00,70018100000.00
09-09-17,"4,229.81","4,308.82","4,114.11","4,226.06",1386230000.00,70017200000.00
08-09-17,"4,605.16","4,661.00","4,075.18","4,228.75",2700890000.00,76220200000.00
07-09-17,"4,589.14","4,655.04","4,491.33","4,599.88",1844620000.00,75945000000.00
06-09-17,"4,376.59","4,617.25","4,376.59","4,597.12",2172100000.00,72418700000.00
05-09-17,"4,228.29","4,427.84","3,998.11","4,376.53",2697970000.00,69954400000.00
04-09-17,"4,591.63","4,591.63","4,108.40","4,236.31",2987330000.00,75955500000.00
03-09-17,"4,585.27","4,714.08","4,417.59","4,582.96",1933190000.00,75841700000.00
02-09-17,"4,901.42","4,975.04","4,469.24","4,578.77",2722140000.00,81060600000.00
01-09-17,"4,701.76","4,892.01","4,678.53","4,892.01",2599080000.00,77748400000.00
